Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=Propane Boiler, 80% AFUE	Option=Propane Boiler, 76% AFUE	Option=Propane Boiler, 72% AFUE	Option=Propane Furnace, 96% AFUE	Option=Propane Furnace, 92% AFUE	Option=Propane Furnace, 80% AFUE	Option=Propane Furnace, 76% AFUE	Option=Propane Furnace, 60% AFUE	Option=Propane Wall/Floor Furnace, 68% AFUE	Option=Propane Wall/Floor Furnace, 60% AFUE	resstock_probability
CR03	1960s	Propane	No	Only Cooling Shared	0.0	0.202942	0.048204000000000004	0.07347999999999999	0.0	0.153063	0.295254	0.132056	0.030345	0.037459	0.027195999999999998	0.0
CR03	1970s	Propane	No	Only Cooling Shared	0.0	0.440072	0.072601	0.08544700000000001	0.0	0.091468	0.176479	0.10598099999999999	0.027951	0.0	0.0	8.281591718400004e-05
CR03	1980s	Propane	No	Only Cooling Shared	0.0	0.16631500000000002	0.060754999999999997	0.109401	0.0	0.11764000000000001	0.211101	0.195922	0.060671	0.046452999999999994	0.031741000000000005	0.0
CR03	1990s	Propane	No	Only Cooling Shared	0.0	0.393358	0.031894	0.0	0.044872	0.168053	0.251302	0.009507	0.0	0.07071000000000001	0.030304	0.0
CR03	2000s	Propane	No	Only Cooling Shared	0.0	0.137968	0.011187	0.0	0.063971	0.378198	0.272489	0.007790999999999999	0.0	0.089877	0.038519	0.0
CR03	<1940	Propane	No	Only Cooling Shared	0.0	0.402292	0.032618	0.0	0.0	0.17283099999999998	0.33262600000000003	0.0	0.0	0.041743	0.01789	0.0
CR04	1950s	Propane	No	Only Cooling Shared	0.0	0.024316	0.004821	0.006595	0.0	0.22587800000000002	0.456293	0.227372	0.054724	0.0	0.0	0.0
CR04	1960s	Propane	No	Only Cooling Shared	0.0	0.058096	0.013799	0.021034999999999998	0.0	0.22733699999999998	0.438526	0.19613599999999998	0.04507	0.0	0.0	0.0
CR04	1970s	Propane	No	Only Cooling Shared	0.0	0.012039	0.001986	0.002338	0.0	0.21702800000000003	0.418735	0.25146399999999997	0.066319	0.018778	0.011313	8.281591718400004e-05
CR04	1980s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.195953	0.35163099999999997	0.326347	0.10106	0.014856999999999999	0.010152	0.0
CR04	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.012721	0.21196500000000001	0.764397	0.010916	0.0	0.0	0.0	0.0
CR04	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.043509	0.503883	0.446166	0.006442	0.0	0.0	0.0	0.0
CR04	<1940	Propane	No	Only Cooling Shared	0.0	0.11370599999999999	0.009219	0.0	0.0	0.297404	0.572377	0.0	0.0	0.005104999999999999	0.002188	0.0
CR06	1950s	Propane	No	Only Cooling Shared	0.0	0.088364	0.017519999999999997	0.023967	0.0	0.18463800000000002	0.372985	0.18586	0.044732	0.043647000000000005	0.038287	0.0
CR06	1960s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.250628	0.483454	0.216231	0.049687	0.0	0.0	0.0
CR06	1970s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.22760100000000003	0.439134	0.26371500000000003	0.06955	0.0	0.0	8.281591718400004e-05
CR06	1980s	Propane	No	Only Cooling Shared	0.0	0.037537	0.013712	0.024692	0.0	0.17346099999999998	0.311269	0.28888800000000003	0.08946	0.036226999999999995	0.024753	0.0
CR06	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.004792	0.037433999999999995	0.952829	0.004945000000000001	0.0	0.0	0.0	0.0
CR06	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.020243999999999998	0.24029899999999998	0.736909	0.002547	0.0	0.0	0.0	0.0
CR06	<1940	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.289516	0.557196	0.0	0.0	0.107301	0.045986	0.0
CR07	1950s	Propane	No	Only Cooling Shared	0.0	0.146561	0.029058999999999998	0.039751999999999996	0.0	0.182452	0.368568	0.183659	0.044203	0.003061	0.0026850000000000003	0.0
CR07	1960s	Propane	No	Only Cooling Shared	0.0	0.204147	0.04849	0.073917	0.0	0.158114	0.30499699999999996	0.136414	0.031346	0.024666	0.017909	0.0
CR07	1970s	Propane	No	Only Cooling Shared	0.0	0.07650900000000001	0.012622	0.014855000000000002	0.0	0.199877	0.38564299999999996	0.231591	0.061078	0.011123000000000001	0.006701	8.281591718400004e-05
CR07	1980s	Propane	No	Only Cooling Shared	0.0	0.110911	0.040516	0.072956	0.0	0.149121	0.267592	0.24835100000000002	0.076907	0.019988	0.013658000000000002	0.0
CR07	1990s	Propane	No	Only Cooling Shared	0.0	0.10413	0.008443	0.0	0.044458	0.484163	0.35880500000000004	0.0	0.0	0.0	0.0	0.0
CR07	2000s	Propane	No	Only Cooling Shared	0.0	0.057274	0.004644	0.0	0.074003	0.618958	0.241759	0.003363	0.0	0.0	0.0	0.0
CR07	<1940	Propane	No	Only Cooling Shared	0.0	0.31788	0.025774000000000002	0.0	0.0	0.22219	0.427622	0.0	0.0	0.004574	0.00196	0.0
CR08	1950s	Propane	No	Only Cooling Shared	0.0	0.030997000000000004	0.006146	0.008407	0.0	0.191709	0.387268	0.192977	0.046445	0.072475	0.063575	0.0
CR08	1960s	Propane	No	Only Cooling Shared	0.0	0.009731	0.002311	0.0035229999999999997	0.0	0.21979	0.423968	0.189625	0.043573	0.062268	0.045209	0.0
CR08	1970s	Propane	No	Only Cooling Shared	0.0	0.015405	0.002541	0.002991	0.0	0.210216	0.405593	0.24357199999999998	0.064238	0.034599	0.020845	8.281591718400004e-05
CR08	1980s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.194372	0.348794	0.323714	0.100245	0.019530000000000002	0.013345	0.0
CR08	1990s	Propane	No	Only Cooling Shared	0.0	0.0027300000000000002	0.000221	0.0	0.021986000000000002	0.366238	0.583797	0.012941999999999999	0.0	0.008459	0.003625	0.0
CR08	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.035075	0.458821	0.499026	0.007077	0.0	0.0	0.0	0.0
CR08	<1940	Propane	No	Only Cooling Shared	0.0	0.09653400000000001	0.007826999999999999	0.0	0.0	0.262071	0.504375	0.0	0.0	0.090435	0.038758	0.0
CR09	1950s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.192378	0.388619	0.19365	0.046607	0.09522	0.083527	0.0
CR09	1960s	Propane	No	Only Cooling Shared	0.0	0.008298	0.001971	0.003005	0.0	0.21458899999999997	0.41393599999999997	0.18513800000000002	0.042542	0.07561799999999999	0.054902	0.0
CR09	1970s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.20457899999999998	0.394715	0.237039	0.062515	0.063123	0.038029	8.281591718400004e-05
CR09	1980s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.184435	0.330963	0.307165	0.09512000000000001	0.048902	0.033414	0.0
CR09	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.073304	0.24245500000000003	0.663983	0.010740999999999999	0.0	0.006661	0.002855	0.0
CR09	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.06751599999999999	0.267704	0.647418	0.007135	0.0	0.007157999999999999	0.003068	0.0
CR09	<1940	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.22636900000000001	0.43566400000000005	0.0	0.0	0.236577	0.10139	0.0
CR10	1950s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.13660899999999998	0.275962	0.13751300000000002	0.033096	0.222043	0.194777	0.0
CR10	1960s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.250628	0.483454	0.216231	0.049687	0.0	0.0	0.0
CR10	1970s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.207998	0.401312	0.24100100000000002	0.06356	0.053748000000000004	0.032381	8.281591718400004e-05
CR10	1980s	Propane	No	Only Cooling Shared	0.0	0.024357	0.008898	0.016022	0.0	0.175011	0.314051	0.29147	0.09026	0.047485	0.032445999999999996	0.0
CR10	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.00215	0.016692	0.9236559999999999	0.037317	0.0	0.014130000000000002	0.006056000000000001	0.0
CR10	2000s	Propane	No	Only Cooling Shared	0.0	0.027851	0.002258	0.0	0.062283000000000005	0.224638	0.664132	0.018838	0.0	0.0	0.0	0.0
CR10	<1940	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.34193	0.6580699999999999	0.0	0.0	0.0	0.0	0.0
CR11	1950s	Propane	No	Only Cooling Shared	0.0	0.004925	0.000977	0.001336	0.0	0.174981	0.353476	0.17613900000000002	0.042393	0.130925	0.114848	0.0
CR11	1960s	Propane	No	Only Cooling Shared	0.0	0.0061329999999999996	0.001457	0.002221	0.0	0.19545	0.37701599999999996	0.168625	0.038748000000000005	0.121869	0.088482	0.0
CR11	1970s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.21313400000000002	0.41122200000000003	0.246952	0.06512899999999999	0.039666	0.023897	8.281591718400004e-05
CR11	1980s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.193678	0.347549	0.32255900000000004	0.099887	0.021581	0.014746	0.0
CR11	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.037777	0.38998299999999997	0.532625	0.003065	0.0	0.025585	0.010965	0.0
CR11	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.053423000000000005	0.43592299999999995	0.506677	0.0039770000000000005	0.0	0.0	0.0	0.0
CR11	<1940	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.0	0.200683	0.38623	0.0	0.0	0.289161	0.123926	0.0
CR02	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR05	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR03	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR04	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR06	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR07	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR08	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR09	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR10	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	1950s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	1970s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	1980s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	1990s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	2000s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR11	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.020220064e-05
CR02	1960s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784342476000001e-05
CR02	1970s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.826901536e-05
CR02	1980s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.406144680000002e-05
CR02	1990s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.770626389366841e-06
CR02	2000s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.407214164780428e-05
CR02	<1940	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.989453964000002e-05
CR05	1950s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.020220064e-05
CR05	1960s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784342476000001e-05
CR05	1970s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.826901536e-05
CR05	1980s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.406144680000002e-05
CR05	1990s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.770626389366841e-06
CR05	2000s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.407214164780428e-05
CR05	<1940	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.989453964000002e-05
CR03	1950s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.020220064e-05
CR03	1960s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784342476000001e-05
CR03	1970s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.826901536e-05
CR03	1980s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.406144680000002e-05
CR03	1990s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.770626389366841e-06
CR03	2000s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.407214164780428e-05
CR03	<1940	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.989453964000002e-05
CR04	1950s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.020220064e-05
CR04	1960s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784342476000001e-05
CR04	1970s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.826901536e-05
CR04	1980s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.406144680000002e-05
CR04	1990s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.770626389366841e-06
CR04	2000s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.407214164780428e-05
